Position,Track Name,Artist,URL,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cases
13,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,2020-12-03,25z6kpmIwkCUqk2IORrJ5v,0.608,0.45,5,-13.290999999999999,0,0.248,0.322,0.000122,0.147,0.303,143.846,194165,4,65368134.0
17,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,2020-12-10,25z6kpmIwkCUqk2IORrJ5v,0.608,0.45,5,-13.290999999999999,0,0.248,0.322,0.000122,0.147,0.303,143.846,194165,4,70564179.0
15,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,2020-12-17,25z6kpmIwkCUqk2IORrJ5v,0.608,0.45,5,-13.290999999999999,0,0.248,0.322,0.000122,0.147,0.303,143.846,194165,4,75069012.0
24,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,2020-12-24,25z6kpmIwkCUqk2IORrJ5v,0.608,0.45,5,-13.290999999999999,0,0.248,0.322,0.000122,0.147,0.303,143.846,194165,4,79495656.0
35,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,2020-12-31,25z6kpmIwkCUqk2IORrJ5v,0.608,0.45,5,-13.290999999999999,0,0.248,0.322,0.000122,0.147,0.303,143.846,194165,4,83558756.0
10,Clouds (with Sabrina Carpenter),Fin Argus,https://open.spotify.com/track/06Kyj7sv2HzZPu4Vt4wfcO,2020-11-19,06Kyj7sv2HzZPu4Vt4wfcO,0.589,0.634,2,-7.653,1,0.0276,0.57,0.0008439999999999999,0.154,0.385,94.99799999999999,184903,4,57061735.0
17,Clouds (with Sabrina Carpenter),Fin Argus,https://open.spotify.com/track/06Kyj7sv2HzZPu4Vt4wfcO,2020-11-26,06Kyj7sv2HzZPu4Vt4wfcO,0.589,0.634,2,-7.653,1,0.0276,0.57,0.0008439999999999999,0.154,0.385,94.99799999999999,184903,4,61139959.0
29,Clouds (with Sabrina Carpenter),Fin Argus,https://open.spotify.com/track/06Kyj7sv2HzZPu4Vt4wfcO,2020-12-03,06Kyj7sv2HzZPu4Vt4wfcO,0.589,0.634,2,-7.653,1,0.0276,0.57,0.0008439999999999999,0.154,0.385,94.99799999999999,184903,4,65368134.0
13,Die Very Rough,Mario Judah,https://open.spotify.com/track/3brXaWuPsVScvYQKUh3Ijc,2020-11-19,3brXaWuPsVScvYQKUh3Ijc,0.72,0.74,1,-3.815,1,0.0646,0.00255,2.55e-06,0.303,0.172,157.953,91171,4,57061735.0
18,Die Very Rough,Mario Judah,https://open.spotify.com/track/3brXaWuPsVScvYQKUh3Ijc,2020-11-26,3brXaWuPsVScvYQKUh3Ijc,0.72,0.74,1,-3.815,1,0.0646,0.00255,2.55e-06,0.303,0.172,157.953,91171,4,61139959.0
41,Die Very Rough,Mario Judah,https://open.spotify.com/track/3brXaWuPsVScvYQKUh3Ijc,2020-12-03,3brXaWuPsVScvYQKUh3Ijc,0.72,0.74,1,-3.815,1,0.0646,0.00255,2.55e-06,0.303,0.172,157.953,91171,4,65368134.0
45,Die Very Rough,Mario Judah,https://open.spotify.com/track/3brXaWuPsVScvYQKUh3Ijc,2020-12-10,3brXaWuPsVScvYQKUh3Ijc,0.72,0.74,1,-3.815,1,0.0646,0.00255,2.55e-06,0.303,0.172,157.953,91171,4,70564179.0
