,Position,Track Name,Artist,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
276,47,Futsal Shuffle 2020,Lil Uzi Vert,2020-01-16,2Ec33AVlkTTq8BHFgBTdQs,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913,4
277,36,No seas Celoso,Kim Loaiza,2020-01-09,6z0nw7pmCeOJVFBCaNKHKs,0.89,0.465,11,-7.714,0,0.0813,0.00843,0.00322,0.0387,0.532,102.976,180844,4
278,42,Tala,Sarah Geronimo,2020-01-09,4T7CM071eEoHudiDShZlCJ,0.598,0.795,8,-1.602,1,0.0497,0.623,0.000193,0.0971,0.499,97.999,245053,4
279,44,Tala,Sarah Geronimo,2020-01-16,4T7CM071eEoHudiDShZlCJ,0.598,0.795,8,-1.602,1,0.0497,0.623,0.000193,0.0971,0.499,97.999,245053,4
280,44,FML,Arizona Zervas,2020-01-09,6lruHh1jF7ezgbLv72xYmf,0.822,0.575,5,-5.95,1,0.0934,0.113,0.0,0.106,0.616,100.087,223000,4
281,41,FML,Arizona Zervas,2020-01-16,6lruHh1jF7ezgbLv72xYmf,0.822,0.575,5,-5.95,1,0.0934,0.113,0.0,0.106,0.616,100.087,223000,4
282,40,FML,Arizona Zervas,2020-01-23,6lruHh1jF7ezgbLv72xYmf,0.822,0.575,5,-5.95,1,0.0934,0.113,0.0,0.106,0.616,100.087,223000,4
283,45,High Fashion (feat. Mustard),Roddy Ricch,2020-01-09,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
284,33,High Fashion (feat. Mustard),Roddy Ricch,2020-01-16,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
285,26,High Fashion (feat. Mustard),Roddy Ricch,2020-01-23,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
